id,docket_id,topic,likeliness
090000648411cb0d,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb0e,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb0f,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb10,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb11,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb16,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb17,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb18,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb19,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1a,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1b,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1c,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1d,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1e,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb1f,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb20,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
09000064840f775b,EPA-HQ-OPP-2017-0433,topic_8,0.5662693833347422
09000064841398cf,EPA-HQ-OPP-2011-0855,topic_0,0.5123931257109285
0900006484139b8e,EPA-HQ-OPP-2011-0855,topic_0,0.4163796275411835
0900006484139b9e,EPA-HQ-OPP-2011-0855,topic_2,0.5447089507418876
0900006484139dae,EPA-HQ-OPP-2011-0855,topic_2,0.8433061174556891
090000648413a034,EPA-HQ-OPP-2011-0855,topic_0,0.48220474214284076
090000648413a0a1,EPA-HQ-OPP-2011-0855,topic_2,0.4674376204593631
090000648413b513,EPA-HQ-OPP-2011-0855,topic_0,0.6605635431601657
090000648413c6ad,EPA-HQ-OPP-2011-0855,topic_2,0.42796984469153737
0900006484147ef1,EPA-HQ-OPPT-2019-0228,topic_8,0.3745688197344868
0900006484148265,EPA-HQ-OPPT-2019-0228,topic_8,0.5255832718861446
090000648414a5d2,EPA-HQ-OPPT-2019-0228,topic_8,0.6534070665677493
09000064841508f0,EPA-HQ-OPPT-2019-0115,topic_8,0.8373456564818975
09000064841508f8,EPA-HQ-OPPT-2019-0114,topic_8,0.8373456564818975
0900006484150c5e,EPA-HQ-OPPT-2019-0108,topic_8,0.8770277949441921
0900006484150cba,EPA-HQ-OPPT-2019-0109,topic_8,0.8770277949441921
0900006484150cc8,EPA-HQ-OPPT-2019-0110,topic_8,0.8770277949441921
0900006484150ccc,EPA-HQ-OPPT-2019-0111,topic_8,0.8770277949441921
0900006484151505,EPA-HQ-OPPT-2019-0112,topic_8,0.8770277949441921
090000648418a088,EPA-HQ-OAR-2017-0757,topic_6,0.45249185772450945
090000648411cb2f,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb30,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
09000064841265be,EPA-HQ-OPPT-2019-0494,topic_4,0.6999999999996545
090000648418a946,EPA-HQ-OAR-2017-0757,topic_6,0.5518263040004305
090000648413961a,EPA-HQ-OPP-2011-0855,topic_0,0.7268208663395668
090000648417e15b,EPA-HQ-OW-2017-0300,topic_8,0.557892884904465
090000648417eae1,EPA-HQ-OW-2019-0174,topic_4,0.6999999999996545
090000648415150a,EPA-HQ-OPPT-2019-0113,topic_8,0.8770277949441921
090000648415150e,EPA-HQ-OPPT-2019-0114,topic_8,0.8770277949441921
090000648415151a,EPA-HQ-OPPT-2019-0115,topic_8,0.8770277949441921
0900006484151b57,EPA-HQ-OPPT-2019-0113,topic_4,0.6999999999996545
090000648415269c,EPA-HQ-OPPT-2019-0115,topic_4,0.6999999999996545
090000648415f9a5,EPA-HQ-OW-2017-0300,topic_8,0.47403716504874865
09000064841911b9,EPA-HQ-OW-2019-0405,topic_3,0.549999999999143
09000064841865ab,EPA-HQ-OAR-2019-0136,topic_4,0.6999999999996545
0900006483c9588c,EPA-HQ-OPP-2011-0691,topic_4,0.6999999999996545
0900006484147b29,EPA-HQ-OPP-2011-0855,topic_0,0.439795585524524
090000648411cc18,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cc66,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cc63,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411cb31,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d123,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d25c,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d25d,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d125,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d126,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d127,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d128,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d129,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12a,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12b,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12c,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12d,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12e,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d12f,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d130,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d131,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d132,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d133,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d134,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d135,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d22b,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d255,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d256,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d257,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d258,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d259,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
090000648411d25b,EPA-HQ-OAR-2017-0757,topic_3,0.549999999999143
0900006484192a44,EPA-R02-OAR-2019-0551,topic_2,0.4906082836812698
